Gene stable ID,Gene name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Gene type,Gene name 115
ENSGALG00010000038,,MT,15486,15553,Mt_tRNA,
ENSGALG00010000039,PDIA3,10,20162025,20170955,protein_coding,PDIA3
ENSGALG00010000040,,10,20159518,20160697,protein_coding,
ENSGALG00010000041,,10,20173286,20174275,protein_coding,
ENSGALG00010000042,CKMT1B,10,20174370,20181968,protein_coding,CKMT1B
ENSGALG00010000043,PPIP5K1,10,20185467,20223924,protein_coding,PPIP5K1
ENSGALG00010000044,MAP1A,10,20222126,20277524,protein_coding,MAP1A
ENSGALG00010000045,TP53BP1,10,20284178,20315343,protein_coding,TP53BP1
ENSGALG00010000046,TUBGCP4,10,20296631,20328272,protein_coding,TUBGCP4
ENSGALG00010000047,IQGAP3,10,20332923,20381422,protein_coding,IQGAP3
ENSGALG00010000048,MAN2A2,10,20114399,20121975,protein_coding,MAN2A2
ENSGALG00010000049,FES,10,20122118,20128147,protein_coding,FES
ENSGALG00010000050,CIB1,10,20071776,20074279,protein_coding,CIB1
ENSGALG00010000051,GDPGP1,10,20073883,20075917,protein_coding,GDPGP1
ENSGALG00010000052,TTLL13,10,20076098,20088051,protein_coding,TTLL6
ENSGALG00010000053,HDDC3,10,20087769,20089000,protein_coding,HDDC3
ENSGALG00010000054,VPS33B,10,20089069,20096154,protein_coding,VPS33B
ENSGALG00010000055,PRC1,10,20096147,20102684,protein_coding,PRC1
ENSGALG00010000056,UNC45A,10,20103430,20112395,protein_coding,UNC45A
ENSGALG00010000057,,10,20112706,20113538,protein_coding,
ENSGALG00010000058,FURIN,10,20130044,20142894,protein_coding,FURIN
ENSGALG00010000059,MFAP1,10,20145572,20149360,protein_coding,MFAP1
ENSGALG00010000060,HYPK,10,20149768,20151059,protein_coding,HYPK
ENSGALG00010000061,SERINC4,10,20151042,20155009,protein_coding,SERINC4
ENSGALG00010000062,,10,20157046,20157915,protein_coding,
ENSGALG00010000063,SERF2,10,20158362,20158970,protein_coding,SERF2
ENSGALG00010000064,,10,20278045,20279772,lncRNA,
ENSGALG00010000065,,10,20328420,20332684,lncRNA,
ENSGALG00010000066,gga-mir-12218,10,20136380,20136436,miRNA,gga-mir-12218
ENSGALG00010000067,,12,20069774,20071844,lncRNA,
ENSGALG00010000068,,12,20071856,20074868,lncRNA,
ENSGALG00010000069,,JAENSK010000001.1,10383,22711,protein_coding,
ENSGALG00010000070,,JAENSK010000294.1,1,5376,lncRNA,
ENSGALG00010000071,,JAENSK010000082.1,101,23052,protein_coding,
ENSGALG00010000072,,JAENSK010000291.1,1113,3687,lncRNA,
ENSGALG00010000073,,JAENSK010000291.1,3377,4536,lncRNA,
ENSGALG00010000074,,JAENSK010000291.1,1104,2916,lncRNA,
ENSGALG00010000075,,JAENSK010000597.1,6198,35936,protein_coding,
ENSGALG00010000076,,JAENSK010000596.1,9047,57598,protein_coding,
ENSGALG00010000077,,JAENSK010000596.1,58834,63262,lncRNA,
ENSGALG00010000078,,MU179260.1,8636,95212,protein_coding,
ENSGALG00010000079,,JAENSK010000438.1,47004,48660,protein_coding,
ENSGALG00010000080,,JAENSK010000438.1,9061,9987,protein_coding,
ENSGALG00010000081,,JAENSK010000477.1,17585,36268,protein_coding,ALDOA
ENSGALG00010000082,,JAENSK010000477.1,5776,6050,protein_coding,
ENSGALG00010000083,,JAENSK010000438.1,30497,31465,protein_coding,
ENSGALG00010000084,,JAENSK010000479.1,12446,26231,protein_coding,TLCD3B
ENSGALG00010000085,,JAENSK010000452.1,7032,33067,protein_coding,PIP4P1
ENSGALG00010000086,,JAENSK010000479.1,4735,8927,lncRNA,
ENSGALG00010000087,,JAENSK010000479.1,10567,12158,lncRNA,
ENSGALG00010000088,,JAENSK010000452.1,36023,43683,protein_coding,
ENSGALG00010000089,,JAENSK010000452.1,36279,44029,protein_coding,
ENSGALG00010000090,,JAENSK010000452.1,3434,4950,lncRNA,
ENSGALG00010000091,,37,27943,41599,protein_coding,
ENSGALG00010000092,INPPL1,JAENSK010000033.1,10155,37183,protein_coding,INPPL1
ENSGALG00010000093,,37,60399,81688,protein_coding,
ENSGALG00010000094,,37,41653,46520,lncRNA,
ENSGALG00010000095,,37,47075,48121,lncRNA,
ENSGALG00010000096,,37,82717,85023,lncRNA,
ENSGALG00010000097,,37,93117,140924,lncRNA,
ENSGALG00010000098,,JAENSK010000448.1,364,45289,protein_coding,
ENSGALG00010000099,,37,97202,145689,lncRNA,
ENSGALG00010000100,,37,98933,146977,lncRNA,
ENSGALG00010000101,,JAENSK010000462.1,50953,64436,protein_coding,
ENSGALG00010000102,,JAENSK010000448.1,46140,48144,lncRNA,
ENSGALG00010000103,,37,107321,157497,lncRNA,
ENSGALG00010000104,,JAENSK010000448.1,47950,52375,lncRNA,
ENSGALG00010000105,CACNA1F,JAENSK010000622.1,11592,47541,protein_coding,CACNA1F
ENSGALG00010000106,,JAENSK010000296.1,8369,8703,protein_coding,
ENSGALG00010000107,,JAENSK010000462.1,24060,27755,protein_coding,
ENSGALG00010000108,,37,18,19710,lncRNA,
ENSGALG00010000109,,JAENSK010000462.1,38600,46176,lncRNA,
ENSGALG00010000110,,JAENSK010000462.1,38715,39639,lncRNA,
ENSGALG00010000111,,JAENSK010000296.1,8942,9704,protein_coding,
ENSGALG00010000112,,37,92837,142230,lncRNA,
ENSGALG00010000113,,JAENSK010000462.1,38719,40346,lncRNA,
ENSGALG00010000114,,JAENSK010000462.1,40631,46254,lncRNA,
ENSGALG00010000115,,37,128299,143043,lncRNA,
ENSGALG00010000116,,JAENSK010000462.1,66016,68139,lncRNA,
ENSGALG00010000117,,JAENSK010000462.1,88687,118481,lncRNA,
ENSGALG00010000118,,MU179262.1,42106,43923,protein_coding,
ENSGALG00010000119,,JAENSK010000462.1,91944,95579,lncRNA,
ENSGALG00010000120,,JAENSK010000462.1,106333,107655,lncRNA,
ENSGALG00010000121,,JAENSK010000296.1,27153,53170,protein_coding,
ENSGALG00010000122,,JAENSK010000462.1,64482,70240,lncRNA,
ENSGALG00010000123,,MU179262.1,51464,61247,protein_coding,
ENSGALG00010000124,,JAENSK010000605.1,31283,37956,protein_coding,MRPS24
ENSGALG00010000125,,JAENSK010000605.1,40663,43156,protein_coding,
ENSGALG00010000126,,MU179262.1,64436,65023,protein_coding,
ENSGALG00010000127,,JAENSK010000296.1,53277,75616,protein_coding,PPT2
ENSGALG00010000128,,MU179262.1,62293,63388,lncRNA,
ENSGALG00010000129,,JAENSK010000296.1,4877,7856,lncRNA,
ENSGALG00010000130,,JAENSK010000296.1,23924,26951,lncRNA,
ENSGALG00010000131,,JAENSK010000605.1,31283,37956,protein_coding,MRPS24
ENSGALG00010000132,,JAENSK010000296.1,2325,4859,lncRNA,
ENSGALG00010000133,USP39,JAENSK010000605.1,1724,13327,protein_coding,USP39
ENSGALG00010000134,,JAENSK010000595.1,1,12664,protein_coding,IKBKG
ENSGALG00010000135,,MU179262.1,69280,78727,lncRNA,
ENSGALG00010000136,,MU179262.1,68749,76564,lncRNA,
ENSGALG00010000137,,JAENSK010000605.1,13419,29639,protein_coding,
ENSGALG00010000138,,JAENSK010000605.1,41184,42449,protein_coding,
ENSGALG00010000139,gga-mir-12293,JAENSK010000605.1,4865,4932,miRNA,gga-mir-12293
ENSGALG00010000140,SEPHS3,JAENSK010000595.1,11305,25958,protein_coding,SEPHS3
ENSGALG00010000141,,JAENSK010000587.1,342,37135,protein_coding,
ENSGALG00010000142,,JAENSK010000483.1,52230,58683,protein_coding,
ENSGALG00010000143,SCARF2,15,10101775,10114838,protein_coding,SCARF2
ENSGALG00010000144,,JAENSK010000483.1,57893,58824,protein_coding,
ENSGALG00010000145,PRODH,15,10116658,10125282,protein_coding,PRODH
ENSGALG00010000146,ACADM,JAENSK010000631.1,1258,27031,protein_coding,ACADM
ENSGALG00010000147,,JAENSK010000595.1,25681,35499,protein_coding,
ENSGALG00010000148,,MU179264.1,41393,43931,protein_coding,
ENSGALG00010000149,,JAENSK010000483.1,391,2904,protein_coding,
ENSGALG00010000150,B3GAT3,JAENSK010000483.1,3612,7278,protein_coding,B3GAT3
ENSGALG00010000151,TBX5,15,12321441,12357769,protein_coding,TBX5
ENSGALG00010000152,,MU179264.1,41807,65223,protein_coding,PRODH2
ENSGALG00010000153,NF2,15,11064472,11105703,protein_coding,NF2
ENSGALG00010000154,,JAENSK010000534.1,3938,18354,protein_coding,
ENSGALG00010000155,MAZ,MU179264.1,67130,81831,protein_coding,MAZ
ENSGALG00010000156,,JAENSK010000416.1,54863,57174,protein_coding,
ENSGALG00010000157,,JAENSK010000534.1,54154,56612,protein_coding,
ENSGALG00010000158,,JAENSK010000534.1,36452,36681,pseudogene,
ENSGALG00010000159,,JAENSK010000534.1,464,709,protein_coding,
ENSGALG00010000160,,JAENSK010000416.1,6157,29164,lncRNA,
ENSGALG00010000161,CDC42EP2,JAENSK010000483.1,8492,14471,protein_coding,CDC42EP2
ENSGALG00010000162,,JAENSK010000416.1,15050,28577,lncRNA,
ENSGALG00010000163,,JAENSK010000416.1,23077,36610,lncRNA,
ENSGALG00010000164,,JAENSK010000416.1,28856,53842,lncRNA,
ENSGALG00010000165,,JAENSK010000416.1,32779,53658,lncRNA,
ENSGALG00010000166,PFDN6,JAENSK010000620.1,1,12477,protein_coding,PFDN6
ENSGALG00010000167,faf,JAENSK010000534.1,14136,14366,protein_coding,faf
ENSGALG00010000168,,JAENSK010000416.1,34437,41846,lncRNA,
ENSGALG00010000169,,JAENSK010000416.1,45460,48709,lncRNA,
ENSGALG00010000170,,JAENSK010000416.1,62194,66497,lncRNA,
ENSGALG00010000171,DPF2,JAENSK010000483.1,20597,34426,protein_coding,DPF2
ENSGALG00010000172,,JAENSK010000620.1,18819,20061,protein_coding,
ENSGALG00010000173,NIPSNAP1,15,11106041,11112530,protein_coding,NIPSNAP1
ENSGALG00010000174,,MU179264.1,84192,109811,protein_coding,
ENSGALG00010000175,,JAENSK010000483.1,35786,43113,protein_coding,
ENSGALG00010000176,,JAENSK010000620.1,13206,15182,protein_coding,
ENSGALG00010000177,,MU179264.1,125088,132325,protein_coding,
ENSGALG00010000178,,JAENSK010000483.1,43592,45864,protein_coding,
ENSGALG00010000179,,MU179264.1,122511,124606,lncRNA,
ENSGALG00010000180,,JAENSK010000621.1,5324,7580,protein_coding,
ENSGALG00010000181,,JAENSK010000483.1,14917,18126,lncRNA,
ENSGALG00010000182,,JAENSK010000483.1,46328,47984,lncRNA,
ENSGALG00010000183,,MU179264.1,63,8965,lncRNA,
ENSGALG00010000184,,JAENSK010000620.1,37994,39895,protein_coding,
ENSGALG00010000185,,JAENSK010000621.1,25276,26241,protein_coding,
ENSGALG00010000186,THOC5,15,11112860,11124399,protein_coding,THOC5
ENSGALG00010000187,,MU179264.1,2279,4753,lncRNA,
ENSGALG00010000188,,JAENSK010000620.1,24349,26334,protein_coding,
ENSGALG00010000189,,JAENSK010000627.1,22834,41221,protein_coding,
ENSGALG00010000190,,JAENSK010000620.1,27094,28683,protein_coding,
ENSGALG00010000191,NEFH,15,11125255,11130431,protein_coding,NEFH
ENSGALG00010000192,,JAENSK010000621.1,31868,36803,protein_coding,
ENSGALG00010000193,,JAENSK010000620.1,15874,17342,lncRNA,
ENSGALG00010000194,,JAENSK010000627.1,42441,45479,lncRNA,
ENSGALG00010000195,,JAENSK010000627.1,42250,45479,lncRNA,
ENSGALG00010000196,KSR2,15,11216661,11266809,protein_coding,KSR2
ENSGALG00010000197,,JAENSK010000621.1,34674,39674,protein_coding,
ENSGALG00010000198,,JAENSK010000621.1,40637,42335,protein_coding,
ENSGALG00010000199,,JAENSK010000621.1,27050,29305,lncRNA,
ENSGALG00010000200,GAL3ST1,15,10795514,10803368,protein_coding,GAL3ST1
ENSGALG00010000201,,15,10804074,10806280,protein_coding,
ENSGALG00010000202,,15,10813934,10817787,protein_coding,SEC14L2
ENSGALG00010000203,,32,13974,16969,protein_coding,
ENSGALG00010000204,,32,70010,76985,protein_coding,
ENSGALG00010000205,RNF215,15,10818822,10822902,protein_coding,RNF215
ENSGALG00010000206,,32,77425,105357,protein_coding,
ENSGALG00010000207,,32,17141,18524,lncRNA,
ENSGALG00010000208,,32,10499,13183,lncRNA,
ENSGALG00010000209,,32,19336,22233,lncRNA,
ENSGALG00010000210,CCDC157,15,10823435,10865435,protein_coding,CCDC157
ENSGALG00010000211,,JAENSK010000630.1,7287,8492,protein_coding,
ENSGALG00010000212,,32,22610,24971,lncRNA,
ENSGALG00010000213,,JAENSK010000630.1,15332,18213,protein_coding,
ENSGALG00010000214,,32,21970,24971,lncRNA,
ENSGALG00010000215,SF3A1,15,10830649,10844235,protein_coding,SF3A1
ENSGALG00010000216,,32,28070,68978,lncRNA,
ENSGALG00010000217,,32,37440,62070,lncRNA,
ENSGALG00010000218,,32,59669,68719,lncRNA,
ENSGALG00010000219,,32,28948,62555,lncRNA,
ENSGALG00010000220,,32,40160,57856,lncRNA,
ENSGALG00010000221,TBC1D10A,15,10846708,10853815,protein_coding,TBC1D10A
ENSGALG00010000222,,32,46702,65827,lncRNA,
ENSGALG00010000223,CASTOR1,15,10854415,10859592,protein_coding,GATSL3
ENSGALG00010000224,MYBPC2,MU179259.1,2029,46990,protein_coding,MYBPC2
ENSGALG00010000225,LIF,15,10865585,10871572,protein_coding,LIF
ENSGALG00010000226,,MU179259.1,55792,57192,protein_coding,
ENSGALG00010000227,,MU179259.1,57486,69586,protein_coding,FUZ
ENSGALG00010000228,,MU179259.1,74595,82689,protein_coding,
ENSGALG00010000229,,JAENSK010000409.1,8827,9828,protein_coding,
ENSGALG00010000230,,JAENSK010000625.1,119,34115,protein_coding,
ENSGALG00010000231,,MU179259.1,86920,90270,protein_coding,
ENSGALG00010000232,,JAENSK010000625.1,34470,45064,protein_coding,TMEM147
ENSGALG00010000233,HORMAD2,15,10884404,10910520,protein_coding,HORMAD2
ENSGALG00010000234,,JAENSK010000533.1,2657,3472,protein_coding,
ENSGALG00010000235,,MU179259.1,103931,105062,protein_coding,
ENSGALG00010000236,,MU179259.1,50842,53185,lncRNA,
ENSGALG00010000237,,JAENSK010000533.1,7195,7424,pseudogene,
ENSGALG00010000238,,JAENSK010000409.1,15196,40948,protein_coding,
ENSGALG00010000239,,JAENSK010000533.1,8133,50160,protein_coding,
ENSGALG00010000240,,JAENSK010000533.1,12728,12959,pseudogene,
ENSGALG00010000241,,JAENSK010000409.1,34441,65882,protein_coding,
ENSGALG00010000242,,MU179259.1,93787,102107,protein_coding,
ENSGALG00010000243,,JAENSK010000533.1,18320,18554,pseudogene,
ENSGALG00010000244,,JAENSK010000409.1,48617,71238,protein_coding,
ENSGALG00010000245,,JAENSK010000533.1,23910,24144,pseudogene,
ENSGALG00010000246,,JAENSK010000533.1,24889,28143,protein_coding,
ENSGALG00010000247,,15,10909951,10928710,protein_coding,
ENSGALG00010000248,,JAENSK010000383.1,998,2022,protein_coding,
ENSGALG00010000249,,JAENSK010000533.1,30435,33609,pseudogene,
ENSGALG00010000250,,JAENSK010000533.1,52883,55962,pseudogene,
ENSGALG00010000251,,JAENSK010000533.1,63069,63300,pseudogene,
ENSGALG00010000252,,JAENSK010000533.1,74272,74505,protein_coding,
ENSGALG00010000253,faf,JAENSK010000533.1,29493,29723,protein_coding,faf
ENSGALG00010000254,,JAENSK010000383.1,5033,8583,protein_coding,
ENSGALG00010000255,,JAENSK010000586.1,2576,6893,protein_coding,
ENSGALG00010000256,,JAENSK010000383.1,15904,19449,protein_coding,
ENSGALG00010000257,faf,JAENSK010000533.1,35088,35318,protein_coding,faf
ENSGALG00010000258,,JAENSK010000383.1,21250,25859,protein_coding,
ENSGALG00010000259,faf,JAENSK010000533.1,40676,40906,protein_coding,faf
ENSGALG00010000260,faf,JAENSK010000533.1,46264,46494,protein_coding,faf
ENSGALG00010000261,,JAENSK010000383.1,27872,29632,protein_coding,
ENSGALG00010000262,HNRNPKL,JAENSK010000547.1,69155,89709,protein_coding,HNRNPKL
ENSGALG00010000263,MTMR3,15,10928483,11002933,protein_coding,MTMR3
ENSGALG00010000264,gga-mir-7b,JAENSK010000547.1,87935,88044,miRNA,gga-mir-7b
ENSGALG00010000265,faf,JAENSK010000533.1,51858,52088,protein_coding,faf
ENSGALG00010000266,,JAENSK010000383.1,38017,39122,protein_coding,
ENSGALG00010000267,,JAENSK010000586.1,6876,21887,protein_coding,GPS2
ENSGALG00010000268,faf,JAENSK010000533.1,57453,57683,protein_coding,faf
ENSGALG00010000269,,JAENSK010000383.1,26389,30865,protein_coding,
ENSGALG00010000270,,JAENSK010000533.1,68682,68909,protein_coding,
ENSGALG00010000271,RTN4R,15,10342495,10407596,protein_coding,RTN4R
ENSGALG00010000272,,JAENSK010000568.1,8597,39415,protein_coding,
ENSGALG00010000273,,JAENSK010000568.1,4,4232,lncRNA,
ENSGALG00010000274,,JAENSK010000568.1,4306,5721,lncRNA,
ENSGALG00010000275,,JAENSK010000533.1,75271,75396,protein_coding,
ENSGALG00010000276,,JAENSK010000533.1,58440,61599,lncRNA,
ENSGALG00010000277,,JAENSK010000410.1,15420,17599,protein_coding,
ENSGALG00010000278,,JAENSK010000533.1,19297,22562,protein_coding,
ENSGALG00010000279,,MU179258.1,146475,163238,protein_coding,
ENSGALG00010000280,,JAENSK010000410.1,19322,22476,protein_coding,
ENSGALG00010000281,OSBP2,15,10704767,10765531,protein_coding,OSBP2
ENSGALG00010000282,,JAENSK010000533.1,36087,44803,protein_coding,
ENSGALG00010000283,,JAENSK010000410.1,27951,30869,protein_coding,CHIR-AB-487
ENSGALG00010000284,,MU179258.1,176342,189154,protein_coding,
ENSGALG00010000285,MYLPF,JAENSK010000593.1,1846,29402,protein_coding,MYLPF
ENSGALG00010000286,TCN2,15,10785038,10788888,protein_coding,TCN2
ENSGALG00010000287,IQCD,15,10766956,10774505,protein_coding,IQCD
ENSGALG00010000288,VARS2,MU179258.1,189248,221615,protein_coding,VARS2
ENSGALG00010000289,QPRT,JAENSK010000593.1,31364,37282,protein_coding,QPRT
ENSGALG00010000290,,JAENSK010000593.1,29454,30263,lncRNA,
ENSGALG00010000291,,JAENSK010000593.1,29812,30604,lncRNA,
ENSGALG00010000292,ABHD16A,MU179258.1,140,11287,protein_coding,ABHD16A
ENSGALG00010000293,,JAENSK010000410.1,34158,37357,protein_coding,
ENSGALG00010000294,DUSP21,15,10774654,10780485,protein_coding,DUSP21
ENSGALG00010000295,,JAENSK010000410.1,51486,52606,protein_coding,
ENSGALG00010000296,,MU179258.1,233917,236221,protein_coding,
ENSGALG00010000297,,JAENSK010000410.1,31521,33379,lncRNA,
ENSGALG00010000298,SLC35E4,15,10781063,10784581,protein_coding,SLC35E4
ENSGALG00010000299,,JAENSK010000410.1,45914,48743,lncRNA,
ENSGALG00010000300,,JAENSK010000410.1,49375,50601,lncRNA,
ENSGALG00010000301,UQCR10,15,11038406,11039861,protein_coding,UQCR10
ENSGALG00010000302,,JAENSK010000650.1,8607,13621,protein_coding,
ENSGALG00010000303,,15,10788123,10794437,protein_coding,PES1
ENSGALG00010000304,,JAENSK010000648.1,13403,13738,protein_coding,
ENSGALG00010000305,,JAENSK010000648.1,2955,12060,lncRNA,
ENSGALG00010000306,,JAENSK010000665.1,26,12748,protein_coding,
ENSGALG00010000307,ZMAT5,15,11039942,11052800,protein_coding,ZMAT5
ENSGALG00010000308,,JAENSK010000650.1,22535,25320,protein_coding,
ENSGALG00010000309,,JAENSK010000532.1,26538,41384,protein_coding,
ENSGALG00010000310,,JAENSK010000650.1,713,6405,lncRNA,
ENSGALG00010000311,,JAENSK010000459.1,36320,103101,lncRNA,
ENSGALG00010000312,CABP7,15,11053266,11058468,protein_coding,CABP7
ENSGALG00010000313,,JAENSK010000532.1,43855,46968,pseudogene,
ENSGALG00010000314,,JAENSK010000459.1,38415,105570,lncRNA,
ENSGALG00010000315,,JAENSK010000459.1,54623,104031,lncRNA,
ENSGALG00010000316,,JAENSK010000459.1,77937,99731,lncRNA,
ENSGALG00010000317,,JAENSK010000459.1,89721,111521,lncRNA,
ENSGALG00010000318,,JAENSK010000532.1,46577,51896,protein_coding,
ENSGALG00010000319,,JAENSK010000641.1,3020,34841,protein_coding,
ENSGALG00010000320,,JAENSK010000459.1,95331,115951,lncRNA,
ENSGALG00010000321,,JAENSK010000459.1,99211,119862,lncRNA,
ENSGALG00010000322,,JAENSK010000641.1,27769,34247,protein_coding,
ENSGALG00010000323,AP1B1,15,11132267,11146088,protein_coding,AP1B1
ENSGALG00010000324,,MU179258.1,42974,56512,protein_coding,
ENSGALG00010000325,,JAENSK010000459.1,100731,157626,lncRNA,
ENSGALG00010000326,,JAENSK010000532.1,77434,84301,protein_coding,
ENSGALG00010000327,,JAENSK010000459.1,100826,139459,lncRNA,
ENSGALG00010000328,,JAENSK010000459.1,111637,167909,lncRNA,
ENSGALG00010000329,,JAENSK010000459.1,116407,117597,lncRNA,
ENSGALG00010000330,,JAENSK010000459.1,118495,156772,lncRNA,
ENSGALG00010000331,,15,11152378,11153539,protein_coding,
ENSGALG00010000332,,JAENSK010000532.1,20456,20689,protein_coding,
ENSGALG00010000333,,JAENSK010000459.1,134146,152975,lncRNA,
ENSGALG00010000334,,JAENSK010000459.1,148625,169146,lncRNA,
ENSGALG00010000335,,JAENSK010000459.1,4885,33464,lncRNA,
ENSGALG00010000336,faf,JAENSK010000532.1,31643,31873,protein_coding,faf
ENSGALG00010000337,,JAENSK010000459.1,17982,66331,lncRNA,
ENSGALG00010000338,,MU179258.1,60122,65199,protein_coding,
ENSGALG00010000339,,MU179269.1,97246,99729,protein_coding,
ENSGALG00010000340,NAA10,JAENSK010000592.1,1,3283,protein_coding,NAA10
ENSGALG00010000341,EWSR1,15,11154604,11175932,protein_coding,EWSR1
ENSGALG00010000342,,JAENSK010000459.1,18715,19615,lncRNA,
ENSGALG00010000343,,MU179269.1,110794,113277,protein_coding,
ENSGALG00010000344,,JAENSK010000459.1,25075,73968,lncRNA,
ENSGALG00010000345,,JAENSK010000532.1,37245,37472,protein_coding,
ENSGALG00010000346,,MU179258.1,65818,75185,protein_coding,
ENSGALG00010000347,,JAENSK010000459.1,26757,79492,lncRNA,
ENSGALG00010000348,,JAENSK010000614.1,23624,25180,protein_coding,
ENSGALG00010000349,CHIR-IG1-5,JAENSK010000295.1,6051,12975,protein_coding,CHIR-IG1-5
ENSGALG00010000350,,MU179261.1,10064,133083,protein_coding,
ENSGALG00010000351,,JAENSK010000666.1,21,2498,protein_coding,
ENSGALG00010000352,,JAENSK010000532.1,42851,43078,protein_coding,
ENSGALG00010000353,,JAENSK010000614.1,49118,55074,protein_coding,NDUFB11
ENSGALG00010000354,,JAENSK010000532.1,66288,70838,lncRNA,
ENSGALG00010000355,,JAENSK010000532.1,68349,69572,lncRNA,
ENSGALG00010000356,,MU179258.1,79148,129139,protein_coding,
ENSGALG00010000357,,JAENSK010000459.1,126474,166191,lncRNA,
ENSGALG00010000358,,JAENSK010000532.1,71803,76393,lncRNA,
ENSGALG00010000359,,MU179258.1,26466,29866,lncRNA,
ENSGALG00010000360,,JAENSK010000635.1,2118,4476,protein_coding,
ENSGALG00010000361,,JAENSK010000459.1,12213,146591,lncRNA,
ENSGALG00010000362,,JAENSK010000295.1,6455,22141,protein_coding,
ENSGALG00010000363,,JAENSK010000666.1,97,1668,protein_coding,
ENSGALG00010000364,,MU179258.1,33365,41254,lncRNA,
ENSGALG00010000365,,JAENSK010000459.1,44448,114100,lncRNA,
ENSGALG00010000366,EMID1,15,11176095,11186092,protein_coding,EMID1
ENSGALG00010000367,HSD17B10,JAENSK010000592.1,3651,8807,protein_coding,HSD17B10
ENSGALG00010000368,,JAENSK010000459.1,110609,172560,lncRNA,
ENSGALG00010000369,,JAENSK010000532.1,15833,24577,protein_coding,
ENSGALG00010000370,,MU179258.1,129191,130296,lncRNA,
ENSGALG00010000371,,MU179258.1,139719,141830,lncRNA,
ENSGALG00010000372,,MU179258.1,139802,141255,lncRNA,
ENSGALG00010000373,,JAENSK010000295.1,15228,16691,protein_coding,
ENSGALG00010000374,,JAENSK010000459.1,34570,121306,lncRNA,
ENSGALG00010000375,,MU179258.1,221648,231898,lncRNA,
ENSGALG00010000376,ASCC2,15,11011596,11037454,protein_coding,ASCC2
ENSGALG00010000377,,JAENSK010000669.1,845,2976,protein_coding,
ENSGALG00010000378,,JAENSK010000459.1,51000,174215,lncRNA,
ENSGALG00010000379,,MU179258.1,221934,225918,lncRNA,
ENSGALG00010000380,,MU179258.1,225940,227212,lncRNA,
ENSGALG00010000381,,JAENSK010000635.1,11640,40697,protein_coding,
ENSGALG00010000382,,MU179261.1,139605,148364,protein_coding,
ENSGALG00010000383,,JAENSK010000459.1,71897,168350,lncRNA,
ENSGALG00010000384,,MU179261.1,173170,230559,protein_coding,
ENSGALG00010000385,,MU179258.1,230632,231870,lncRNA,
ENSGALG00010000386,,MU179261.1,235834,240260,protein_coding,
ENSGALG00010000387,DTX1,15,11188910,11196486,protein_coding,DTX1
ENSGALG00010000388,,MU179261.1,259302,259502,protein_coding,HNRNPC
ENSGALG00010000389,,MU179261.1,135113,138365,lncRNA,
ENSGALG00010000390,,JAENSK010000459.1,61802,65343,lncRNA,
ENSGALG00010000391,,JAENSK010000295.1,23086,25521,protein_coding,
