Gene_stable_ID,Version (gene),Gene_name,Human_gene_stable_ID,Human_gene_name
ENSGALG00010000111,1,,,
ENSGALG00010000112,1,,,
ENSGALG00010000113,1,,,
ENSGALG00010000114,1,,,
ENSGALG00010000115,1,,,
ENSGALG00010000116,1,,,
ENSGALG00010000117,1,,,
ENSGALG00010000118,1,,,
ENSGALG00010000119,1,,,
ENSGALG00010000120,1,,,
ENSGALG00010000121,1,,,
ENSGALG00010000122,1,,,
ENSGALG00010000123,1,,ENSG00000100823,APEX1
ENSGALG00010000124,1,MRPS24,ENSG00000062582,MRPS24
ENSGALG00010000125,1,,,
ENSGALG00010000126,1,,ENSG00000092094,OSGEP
ENSGALG00010000127,1,PPT2,ENSG00000221988,PPT2
ENSGALG00010000128,1,,,
ENSGALG00010000129,1,,,
ENSGALG00010000130,1,,,
ENSGALG00010000131,1,MRPS24,ENSG00000062582,MRPS24
ENSGALG00010000132,1,,,
ENSGALG00010000133,1,USP39,ENSG00000168883,USP39
ENSGALG00010000134,1,IKBKG,ENSG00000269335,IKBKG
ENSGALG00010000135,1,,,
ENSGALG00010000136,1,,,
ENSGALG00010000137,1,,ENSG00000168878,SFTPB
ENSGALG00010000138,1,,,
ENSGALG00010000139,1,gga-mir-12293,,
ENSGALG00010000140,1,SEPHS3,ENSG00000179918,SEPHS2
ENSGALG00010000141,1,,ENSG00000170004,CHD3
ENSGALG00010000142,1,,ENSG00000149452,SLC22A8
ENSGALG00010000143,1,SCARF2,ENSG00000244486,SCARF2
ENSGALG00010000144,1,,,
ENSGALG00010000145,1,PRODH,ENSG00000100033,PRODH
ENSGALG00010000145,1,PRODH,ENSG00000277196,
ENSGALG00010000146,1,ACADM,ENSG00000117054,ACADM
ENSGALG00010000147,1,,,
ENSGALG00010000148,1,,ENSG00000103502,CDIPT
ENSGALG00010000149,1,,ENSG00000089597,GANAB
ENSGALG00010000150,1,B3GAT3,ENSG00000149541,B3GAT3
ENSGALG00010000151,1,TBX5,ENSG00000089225,TBX5
ENSGALG00010000152,1,PRODH2,ENSG00000250799,PRODH2
ENSGALG00010000153,1,NF2,ENSG00000186575,NF2
ENSGALG00010000154,1,,,
ENSGALG00010000155,1,MAZ,ENSG00000103495,MAZ
ENSGALG00010000156,1,,,
ENSGALG00010000157,1,,,
ENSGALG00010000158,1,,,
ENSGALG00010000159,1,,,
ENSGALG00010000160,1,,,
ENSGALG00010000161,1,CDC42EP2,ENSG00000149798,CDC42EP2
ENSGALG00010000162,1,,,
ENSGALG00010000163,1,,,
ENSGALG00010000164,1,,,
ENSGALG00010000165,1,,,
ENSGALG00010000166,1,PFDN6,ENSG00000204220,PFDN6
ENSGALG00010000167,1,faf,,
ENSGALG00010000168,1,,,
ENSGALG00010000169,1,,,
ENSGALG00010000170,1,,,
ENSGALG00010000171,1,DPF2,ENSG00000133884,DPF2
ENSGALG00010000172,1,,ENSG00000235863,B3GALT4
ENSGALG00010000173,1,NIPSNAP1,ENSG00000184117,NIPSNAP1
ENSGALG00010000174,1,,,
ENSGALG00010000175,1,,ENSG00000149452,SLC22A8
ENSGALG00010000176,1,,,
ENSGALG00010000177,1,,ENSG00000184110,EIF3C
ENSGALG00010000177,1,,ENSG00000205609,EIF3CL
ENSGALG00010000178,1,,,
ENSGALG00010000179,1,,,
ENSGALG00010000180,1,,ENSG00000160862,AZGP1
ENSGALG00010000180,1,,ENSG00000104870,FCGRT
ENSGALG00010000181,1,,,
ENSGALG00010000182,1,,,
ENSGALG00010000183,1,,,
ENSGALG00010000184,1,,ENSG00000235863,B3GALT4
ENSGALG00010000185,1,,ENSG00000160862,AZGP1
ENSGALG00010000185,1,,ENSG00000104870,FCGRT
ENSGALG00010000186,1,THOC5,ENSG00000100296,THOC5
ENSGALG00010000187,1,,,
ENSGALG00010000188,1,,ENSG00000235863,B3GALT4
ENSGALG00010000189,1,,ENSG00000140688,RUSF1
ENSGALG00010000190,1,,ENSG00000235863,B3GALT4
ENSGALG00010000191,1,NEFH,ENSG00000100285,NEFH
ENSGALG00010000192,1,,ENSG00000183542,KLRC4
ENSGALG00010000192,1,,ENSG00000173391,OLR1
ENSGALG00010000192,1,,ENSG00000110852,CLEC2B
ENSGALG00010000192,1,,ENSG00000205810,KLRC3
ENSGALG00010000192,1,,ENSG00000205809,KLRC2
ENSGALG00010000192,1,,ENSG00000188393,CLEC2A
ENSGALG00010000192,1,,ENSG00000150048,CLEC1A
ENSGALG00010000192,1,,ENSG00000256797,KLRF2
ENSGALG00010000192,1,,ENSG00000134545,KLRC1
ENSGALG00010000192,1,,ENSG00000134539,KLRD1
ENSGALG00010000192,1,,ENSG00000165682,CLEC1B
ENSGALG00010000192,1,,ENSG00000256660,CLEC12B
ENSGALG00010000192,1,,ENSG00000188883,KLRG2
ENSGALG00010000193,1,,,
ENSGALG00010000194,1,,,
ENSGALG00010000195,1,,,
ENSGALG00010000196,1,KSR2,ENSG00000171435,KSR2
ENSGALG00010000197,1,,ENSG00000183542,KLRC4
ENSGALG00010000197,1,,ENSG00000173391,OLR1
ENSGALG00010000197,1,,ENSG00000110852,CLEC2B
ENSGALG00010000197,1,,ENSG00000205810,KLRC3
ENSGALG00010000197,1,,ENSG00000205809,KLRC2
ENSGALG00010000197,1,,ENSG00000188393,CLEC2A
ENSGALG00010000197,1,,ENSG00000150048,CLEC1A
ENSGALG00010000197,1,,ENSG00000256797,KLRF2
ENSGALG00010000197,1,,ENSG00000134545,KLRC1
ENSGALG00010000197,1,,ENSG00000134539,KLRD1
ENSGALG00010000197,1,,ENSG00000165682,CLEC1B
ENSGALG00010000197,1,,ENSG00000256660,CLEC12B
ENSGALG00010000197,1,,ENSG00000188883,KLRG2
ENSGALG00010000198,1,,ENSG00000183542,KLRC4
ENSGALG00010000198,1,,ENSG00000173391,OLR1
ENSGALG00010000198,1,,ENSG00000110852,CLEC2B
ENSGALG00010000198,1,,ENSG00000205810,KLRC3
ENSGALG00010000198,1,,ENSG00000205809,KLRC2
ENSGALG00010000198,1,,ENSG00000188393,CLEC2A
ENSGALG00010000198,1,,ENSG00000150048,CLEC1A
ENSGALG00010000198,1,,ENSG00000256797,KLRF2
ENSGALG00010000198,1,,ENSG00000134545,KLRC1
ENSGALG00010000198,1,,ENSG00000134539,KLRD1
ENSGALG00010000198,1,,ENSG00000165682,CLEC1B
ENSGALG00010000198,1,,ENSG00000256660,CLEC12B
ENSGALG00010000198,1,,ENSG00000188883,KLRG2
ENSGALG00010000199,1,,,
ENSGALG00010000200,1,GAL3ST1,ENSG00000128242,GAL3ST1
ENSGALG00010000201,1,,,
ENSGALG00010000202,1,SEC14L2,ENSG00000100003,SEC14L2
ENSGALG00010000203,1,,,
ENSGALG00010000204,1,,ENSG00000184617,ZNF840P
ENSGALG00010000205,1,RNF215,ENSG00000099999,RNF215
ENSGALG00010000206,1,,ENSG00000189181,OR14I1
ENSGALG00010000206,1,,ENSG00000196772,OR14A16
ENSGALG00010000206,1,,ENSG00000241128,OR14A2
ENSGALG00010000206,1,,ENSG00000198452,OR14L1
ENSGALG00010000206,1,,ENSG00000204695,OR14J1
ENSGALG00010000206,1,,ENSG00000153230,OR14K1
ENSGALG00010000207,1,,,
ENSGALG00010000208,1,,,
ENSGALG00010000209,1,,,
ENSGALG00010000210,1,CCDC157,ENSG00000187860,CCDC157
ENSGALG00010000211,1,,,
ENSGALG00010000212,1,,,
ENSGALG00010000213,1,,,
ENSGALG00010000214,1,,,
ENSGALG00010000215,1,SF3A1,ENSG00000099995,SF3A1
ENSGALG00010000216,1,,,
ENSGALG00010000217,1,,,
ENSGALG00010000218,1,,,
ENSGALG00010000219,1,,,
ENSGALG00010000220,1,,,
ENSGALG00010000221,1,TBC1D10A,ENSG00000099992,TBC1D10A
ENSGALG00010000222,1,,,
ENSGALG00010000223,1,GATSL3,ENSG00000239282,CASTOR1
ENSGALG00010000224,1,MYBPC2,ENSG00000086967,MYBPC2
ENSGALG00010000225,1,LIF,ENSG00000128342,LIF
ENSGALG00010000226,1,,,
ENSGALG00010000227,1,FUZ,ENSG00000010361,FUZ
ENSGALG00010000228,1,,ENSG00000186431,FCAR
ENSGALG00010000228,1,,ENSG00000239998,LILRA2
ENSGALG00010000228,1,,ENSG00000187116,LILRA5
ENSGALG00010000228,1,,ENSG00000131042,LILRB2
ENSGALG00010000228,1,,ENSG00000104972,LILRB1
ENSGALG00010000228,1,,ENSG00000088053,GP6
ENSGALG00010000228,1,,ENSG00000189430,NCR1
ENSGALG00010000228,1,,ENSG00000239961,LILRA4
ENSGALG00010000228,1,,ENSG00000167618,LAIR2
ENSGALG00010000228,1,,ENSG00000189068,VSTM1
ENSGALG00010000228,1,,ENSG00000104974,LILRA1
ENSGALG00010000228,1,,ENSG00000186818,LILRB4
ENSGALG00010000228,1,,ENSG00000204577,LILRB3
ENSGALG00010000228,1,,ENSG00000244482,LILRA6
ENSGALG00010000228,1,,ENSG00000105609,LILRB5
ENSGALG00010000229,1,,ENSG00000186431,FCAR
ENSGALG00010000229,1,,ENSG00000239998,LILRA2
ENSGALG00010000229,1,,ENSG00000187116,LILRA5
ENSGALG00010000229,1,,ENSG00000131042,LILRB2
ENSGALG00010000229,1,,ENSG00000104972,LILRB1
ENSGALG00010000229,1,,ENSG00000088053,GP6
ENSGALG00010000229,1,,ENSG00000189430,NCR1
ENSGALG00010000229,1,,ENSG00000239961,LILRA4
ENSGALG00010000229,1,,ENSG00000167618,LAIR2
ENSGALG00010000229,1,,ENSG00000189068,VSTM1
ENSGALG00010000229,1,,ENSG00000104974,LILRA1
ENSGALG00010000229,1,,ENSG00000186818,LILRB4
ENSGALG00010000229,1,,ENSG00000204577,LILRB3
ENSGALG00010000229,1,,ENSG00000244482,LILRA6
ENSGALG00010000229,1,,ENSG00000105609,LILRB5
ENSGALG00010000230,1,,ENSG00000105679,GAPDHS
ENSGALG00010000231,1,,ENSG00000186431,FCAR
ENSGALG00010000231,1,,ENSG00000239998,LILRA2
ENSGALG00010000231,1,,ENSG00000187116,LILRA5
ENSGALG00010000231,1,,ENSG00000131042,LILRB2
ENSGALG00010000231,1,,ENSG00000104972,LILRB1
ENSGALG00010000231,1,,ENSG00000088053,GP6
ENSGALG00010000231,1,,ENSG00000189430,NCR1
ENSGALG00010000231,1,,ENSG00000239961,LILRA4
ENSGALG00010000231,1,,ENSG00000167618,LAIR2
ENSGALG00010000231,1,,ENSG00000189068,VSTM1
ENSGALG00010000231,1,,ENSG00000104974,LILRA1
ENSGALG00010000231,1,,ENSG00000186818,LILRB4
ENSGALG00010000231,1,,ENSG00000204577,LILRB3
ENSGALG00010000231,1,,ENSG00000244482,LILRA6
ENSGALG00010000231,1,,ENSG00000105609,LILRB5
ENSGALG00010000232,1,TMEM147,ENSG00000105677,TMEM147
ENSGALG00010000233,1,HORMAD2,ENSG00000176635,HORMAD2
ENSGALG00010000234,1,,,
ENSGALG00010000235,1,,,
ENSGALG00010000236,1,,,
ENSGALG00010000237,1,,,
ENSGALG00010000238,1,,ENSG00000186431,FCAR
ENSGALG00010000238,1,,ENSG00000239998,LILRA2
ENSGALG00010000238,1,,ENSG00000187116,LILRA5
ENSGALG00010000238,1,,ENSG00000131042,LILRB2
ENSGALG00010000238,1,,ENSG00000104972,LILRB1
ENSGALG00010000238,1,,ENSG00000088053,GP6
ENSGALG00010000238,1,,ENSG00000189430,NCR1
ENSGALG00010000238,1,,ENSG00000239961,LILRA4
ENSGALG00010000238,1,,ENSG00000167618,LAIR2
ENSGALG00010000238,1,,ENSG00000189068,VSTM1
ENSGALG00010000238,1,,ENSG00000104974,LILRA1
ENSGALG00010000238,1,,ENSG00000186818,LILRB4
ENSGALG00010000238,1,,ENSG00000204577,LILRB3
ENSGALG00010000238,1,,ENSG00000244482,LILRA6
ENSGALG00010000238,1,,ENSG00000105609,LILRB5
ENSGALG00010000239,1,,,
ENSGALG00010000240,1,,,
ENSGALG00010000241,1,,ENSG00000186431,FCAR
ENSGALG00010000241,1,,ENSG00000239998,LILRA2
ENSGALG00010000241,1,,ENSG00000187116,LILRA5
ENSGALG00010000241,1,,ENSG00000131042,LILRB2
ENSGALG00010000241,1,,ENSG00000104972,LILRB1
ENSGALG00010000241,1,,ENSG00000088053,GP6
ENSGALG00010000241,1,,ENSG00000189430,NCR1
ENSGALG00010000241,1,,ENSG00000239961,LILRA4
ENSGALG00010000241,1,,ENSG00000167618,LAIR2
ENSGALG00010000241,1,,ENSG00000189068,VSTM1
ENSGALG00010000241,1,,ENSG00000104974,LILRA1
ENSGALG00010000241,1,,ENSG00000186818,LILRB4
ENSGALG00010000241,1,,ENSG00000204577,LILRB3
ENSGALG00010000241,1,,ENSG00000244482,LILRA6
ENSGALG00010000241,1,,ENSG00000105609,LILRB5
ENSGALG00010000242,1,,ENSG00000186431,FCAR
ENSGALG00010000242,1,,ENSG00000239998,LILRA2
ENSGALG00010000242,1,,ENSG00000187116,LILRA5
ENSGALG00010000242,1,,ENSG00000131042,LILRB2
ENSGALG00010000242,1,,ENSG00000104972,LILRB1
ENSGALG00010000242,1,,ENSG00000088053,GP6
ENSGALG00010000242,1,,ENSG00000189430,NCR1
ENSGALG00010000242,1,,ENSG00000239961,LILRA4
ENSGALG00010000242,1,,ENSG00000167618,LAIR2
ENSGALG00010000242,1,,ENSG00000189068,VSTM1
ENSGALG00010000242,1,,ENSG00000104974,LILRA1
ENSGALG00010000242,1,,ENSG00000186818,LILRB4
ENSGALG00010000242,1,,ENSG00000204577,LILRB3
ENSGALG00010000242,1,,ENSG00000244482,LILRA6
ENSGALG00010000242,1,,ENSG00000105609,LILRB5
ENSGALG00010000243,1,,,
ENSGALG00010000244,1,,ENSG00000186431,FCAR
ENSGALG00010000244,1,,ENSG00000239998,LILRA2
ENSGALG00010000244,1,,ENSG00000187116,LILRA5
ENSGALG00010000244,1,,ENSG00000131042,LILRB2
ENSGALG00010000244,1,,ENSG00000104972,LILRB1
ENSGALG00010000244,1,,ENSG00000088053,GP6
ENSGALG00010000244,1,,ENSG00000189430,NCR1
ENSGALG00010000244,1,,ENSG00000239961,LILRA4
ENSGALG00010000244,1,,ENSG00000167618,LAIR2
ENSGALG00010000244,1,,ENSG00000189068,VSTM1
ENSGALG00010000244,1,,ENSG00000104974,LILRA1
ENSGALG00010000244,1,,ENSG00000186818,LILRB4
ENSGALG00010000244,1,,ENSG00000204577,LILRB3
ENSGALG00010000244,1,,ENSG00000244482,LILRA6
ENSGALG00010000244,1,,ENSG00000105609,LILRB5
ENSGALG00010000245,1,,,
ENSGALG00010000246,1,,,
ENSGALG00010000247,1,,,
ENSGALG00010000248,1,,,
ENSGALG00010000249,1,,,
ENSGALG00010000250,1,,,
ENSGALG00010000251,1,,,
ENSGALG00010000252,1,,,
ENSGALG00010000253,1,faf,,
ENSGALG00010000254,1,,ENSG00000171161,ZNF672
ENSGALG00010000255,1,,ENSG00000253626,EIF5AL1
ENSGALG00010000255,1,,ENSG00000132507,EIF5A
ENSGALG00010000256,1,,ENSG00000171161,ZNF672
ENSGALG00010000257,1,faf,,
ENSGALG00010000258,1,,ENSG00000189181,OR14I1
ENSGALG00010000258,1,,ENSG00000196772,OR14A16
ENSGALG00010000258,1,,ENSG00000241128,OR14A2
ENSGALG00010000258,1,,ENSG00000198452,OR14L1
ENSGALG00010000258,1,,ENSG00000204695,OR14J1
ENSGALG00010000258,1,,ENSG00000153230,OR14K1
ENSGALG00010000259,1,faf,,
ENSGALG00010000260,1,faf,,
ENSGALG00010000261,1,,,
ENSGALG00010000262,1,HNRNPKL,ENSG00000165119,HNRNPK
ENSGALG00010000263,1,MTMR3,ENSG00000100330,MTMR3
ENSGALG00010000264,1,gga-mir-7b,ENSG00000284179,MIR7-1
ENSGALG00010000265,1,faf,,
ENSGALG00010000266,1,,,
ENSGALG00010000267,1,GPS2,ENSG00000132522,GPS2
ENSGALG00010000268,1,faf,,
ENSGALG00010000269,1,,ENSG00000171161,ZNF672
ENSGALG00010000270,1,,,
ENSGALG00010000271,1,RTN4R,ENSG00000040608,RTN4R
ENSGALG00010000272,1,,ENSG00000161270,NPHS1
ENSGALG00010000273,1,,,
ENSGALG00010000274,1,,,
ENSGALG00010000275,1,,,
ENSGALG00010000276,1,,,
ENSGALG00010000277,1,,ENSG00000186431,FCAR
ENSGALG00010000277,1,,ENSG00000239998,LILRA2
ENSGALG00010000277,1,,ENSG00000187116,LILRA5
ENSGALG00010000277,1,,ENSG00000131042,LILRB2
ENSGALG00010000277,1,,ENSG00000104972,LILRB1
ENSGALG00010000277,1,,ENSG00000088053,GP6
ENSGALG00010000277,1,,ENSG00000189430,NCR1
ENSGALG00010000277,1,,ENSG00000239961,LILRA4
ENSGALG00010000277,1,,ENSG00000167618,LAIR2
ENSGALG00010000277,1,,ENSG00000189068,VSTM1
ENSGALG00010000277,1,,ENSG00000104974,LILRA1
ENSGALG00010000277,1,,ENSG00000186818,LILRB4
ENSGALG00010000277,1,,ENSG00000204577,LILRB3
ENSGALG00010000277,1,,ENSG00000244482,LILRA6
ENSGALG00010000277,1,,ENSG00000105609,LILRB5
ENSGALG00010000278,1,,,
ENSGALG00010000279,1,,ENSG00000213780,GTF2H4
ENSGALG00010000280,1,,ENSG00000186431,FCAR
ENSGALG00010000280,1,,ENSG00000239998,LILRA2
ENSGALG00010000280,1,,ENSG00000187116,LILRA5
ENSGALG00010000280,1,,ENSG00000131042,LILRB2
ENSGALG00010000280,1,,ENSG00000104972,LILRB1
ENSGALG00010000280,1,,ENSG00000088053,GP6
ENSGALG00010000280,1,,ENSG00000189430,NCR1
ENSGALG00010000280,1,,ENSG00000239961,LILRA4
ENSGALG00010000280,1,,ENSG00000167618,LAIR2
ENSGALG00010000280,1,,ENSG00000189068,VSTM1
ENSGALG00010000280,1,,ENSG00000104974,LILRA1
ENSGALG00010000280,1,,ENSG00000186818,LILRB4
ENSGALG00010000280,1,,ENSG00000204577,LILRB3
ENSGALG00010000280,1,,ENSG00000244482,LILRA6
ENSGALG00010000280,1,,ENSG00000105609,LILRB5
ENSGALG00010000281,1,OSBP2,ENSG00000184792,OSBP2
ENSGALG00010000282,1,,,
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000186431,FCAR
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000239998,LILRA2
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000187116,LILRA5
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000131042,LILRB2
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000104972,LILRB1
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000088053,GP6
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000189430,NCR1
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000239961,LILRA4
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000167618,LAIR2
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000189068,VSTM1
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000104974,LILRA1
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000186818,LILRB4
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000204577,LILRB3
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000244482,LILRA6
ENSGALG00010000283,1,CHIR-AB-487,ENSG00000105609,LILRB5
ENSGALG00010000284,1,,,
ENSGALG00010000285,1,MYLPF,ENSG00000180209,MYL11
ENSGALG00010000286,1,TCN2,ENSG00000185339,TCN2
ENSGALG00010000287,1,IQCD,ENSG00000166578,IQCD
ENSGALG00010000288,1,VARS2,ENSG00000137411,VARS2
ENSGALG00010000289,1,QPRT,ENSG00000103485,QPRT
ENSGALG00010000290,1,,,
ENSGALG00010000291,1,,,
ENSGALG00010000292,1,ABHD16A,ENSG00000204427,ABHD16A
ENSGALG00010000293,1,,ENSG00000186431,FCAR
ENSGALG00010000293,1,,ENSG00000239998,LILRA2
ENSGALG00010000293,1,,ENSG00000187116,LILRA5
ENSGALG00010000293,1,,ENSG00000131042,LILRB2
ENSGALG00010000293,1,,ENSG00000104972,LILRB1
ENSGALG00010000293,1,,ENSG00000088053,GP6
ENSGALG00010000293,1,,ENSG00000189430,NCR1
ENSGALG00010000293,1,,ENSG00000239961,LILRA4
ENSGALG00010000293,1,,ENSG00000167618,LAIR2
ENSGALG00010000293,1,,ENSG00000189068,VSTM1
ENSGALG00010000293,1,,ENSG00000104974,LILRA1
ENSGALG00010000293,1,,ENSG00000186818,LILRB4
ENSGALG00010000293,1,,ENSG00000204577,LILRB3
ENSGALG00010000293,1,,ENSG00000244482,LILRA6
ENSGALG00010000293,1,,ENSG00000105609,LILRB5
ENSGALG00010000294,1,DUSP21,ENSG00000189037,DUSP21
ENSGALG00010000295,1,,ENSG00000186431,FCAR
ENSGALG00010000295,1,,ENSG00000239998,LILRA2
ENSGALG00010000295,1,,ENSG00000187116,LILRA5
ENSGALG00010000295,1,,ENSG00000131042,LILRB2
ENSGALG00010000295,1,,ENSG00000104972,LILRB1
ENSGALG00010000295,1,,ENSG00000088053,GP6
ENSGALG00010000295,1,,ENSG00000189430,NCR1
ENSGALG00010000295,1,,ENSG00000239961,LILRA4
ENSGALG00010000295,1,,ENSG00000167618,LAIR2
ENSGALG00010000295,1,,ENSG00000189068,VSTM1
ENSGALG00010000295,1,,ENSG00000104974,LILRA1
ENSGALG00010000295,1,,ENSG00000186818,LILRB4
ENSGALG00010000295,1,,ENSG00000204577,LILRB3
ENSGALG00010000295,1,,ENSG00000244482,LILRA6
ENSGALG00010000295,1,,ENSG00000105609,LILRB5
ENSGALG00010000296,1,,,
ENSGALG00010000297,1,,,
ENSGALG00010000298,1,SLC35E4,ENSG00000100036,SLC35E4
